file,verdict,note
0669,,auto:water_too_small water_frac=0.00847 score=0.6508
1714,,auto:water_too_small water_frac=0.06906 score=0.7074
0416,,auto:water_too_small water_frac=0.00389 score=0.7539
0690,,auto:water_too_small water_frac=0.00992 score=0.7617
1196,,auto:water_too_small water_frac=0.03316 score=0.771
2920,,auto:low_score water_frac=0.32353 score=0.7712
0813,,auto:low_score water_frac=0.21681 score=0.7715
0673,,auto:water_too_small water_frac=0.0644 score=0.7735
2063,,auto:water_too_small water_frac=0.03655 score=0.7744
0372,,auto:water_too_small water_frac=0.03048 score=0.7783
0664,,auto:water_too_small water_frac=0.01116 score=0.781
1211,,auto:low_score water_frac=0.18976 score=0.7822
1942,,auto:water_too_small water_frac=0.01449 score=0.7836
0809,,auto:low_score water_frac=0.28876 score=0.784
2437,,auto:low_score water_frac=0.31504 score=0.7846
1858,,auto:water_too_small water_frac=0.14718 score=0.7865
1590,,auto:water_too_small water_frac=0.04554 score=0.7899
2747,,auto:low_score water_frac=0.16452 score=0.7905
2562,,auto:water_too_small water_frac=0.12623 score=0.791
1839,,auto:water_too_small water_frac=0.02496 score=0.792
0390,,auto:water_too_small water_frac=0.02334 score=0.7939
2775,,auto:low_score water_frac=0.26139 score=0.7943
0919,,auto:water_too_small water_frac=0.12389 score=0.7944
2860,,auto:low_score water_frac=0.28735 score=0.795
1734,,auto:low_score water_frac=0.40602 score=0.7959
1663,,auto:water_too_small water_frac=0.00739 score=0.798
1323,,auto:low_score water_frac=0.22333 score=0.7984
1283,,auto:low_score water_frac=0.19484 score=0.7994
2038,,auto:water_too_small water_frac=0.0068 score=0.8022
1561,,auto:water_too_small water_frac=0.11007 score=0.8037
0385,,auto:water_too_small water_frac=0.01579 score=0.8047
1773,,auto:water_too_small water_frac=0.09633 score=0.808
2367,,auto:water_too_small water_frac=0.14233 score=0.8095
1753,,auto:water_too_small water_frac=0.07473 score=0.8108
1627,,auto:water_too_small water_frac=0.12662 score=0.8137
2964,,auto:water_too_small water_frac=0.14374 score=0.8166
1796,,auto:water_too_small water_frac=0.0793 score=0.8168
2021,,auto:water_too_small water_frac=0.07985 score=0.817
1555,,auto:water_too_small water_frac=0.05833 score=0.8187
0693,,auto:water_too_small water_frac=0.03033 score=0.8219
2261,,auto:water_too_small water_frac=0.00672 score=0.8221
1828,,auto:water_too_small water_frac=0.06941 score=0.8234
1047,,auto:water_too_small water_frac=0.14366 score=0.8245
1760,,auto:water_too_small water_frac=0.13591 score=0.8258
0379,,auto:water_too_small water_frac=0.05401 score=0.8262
0973,,auto:water_too_small water_frac=0.11863 score=0.8277
1108,,auto:water_too_small water_frac=0.13567 score=0.828
1693,,auto:water_too_small water_frac=0.04414 score=0.8282
0671,,auto:water_too_small water_frac=0.1436 score=0.8305
0471,,auto:water_too_small water_frac=0.04674 score=0.8306
0384,,auto:water_too_small water_frac=0.14883 score=0.8315
0533,,auto:water_too_small water_frac=0.07922 score=0.8319
1814,,auto:water_too_small water_frac=0.08385 score=0.8346
1286,,auto:water_too_small water_frac=0.14536 score=0.8363
0652,,auto:water_too_small water_frac=0.11513 score=0.8371
2926,,auto:water_too_small water_frac=0.10593 score=0.8419
0947,,auto:water_too_small water_frac=0.1218 score=0.8431
1463,,auto:water_too_small water_frac=0.13785 score=0.8441
2942,,auto:water_too_small water_frac=0.03454 score=0.8446
2950,,auto:water_too_small water_frac=0.13404 score=0.8451
2011,,auto:water_too_small water_frac=0.05322 score=0.8456
2035,,auto:water_too_small water_frac=0.07913 score=0.8456
1519,,auto:water_too_small water_frac=0.11439 score=0.8463
1960,,auto:water_too_small water_frac=0.11415 score=0.8472
1240,,auto:water_too_small water_frac=0.08513 score=0.8503
0656,,auto:water_too_small water_frac=0.04498 score=0.8514
1911,,auto:water_too_small water_frac=0.09613 score=0.8528
2574,,auto:water_too_small water_frac=0.11837 score=0.8531
1847,,auto:water_too_small water_frac=0.05594 score=0.8539
2906,,auto:water_too_small water_frac=0.0153 score=0.8546
0396,,auto:water_too_small water_frac=0.02222 score=0.8553
1511,,auto:water_too_small water_frac=0.0762 score=0.8562
1098,,auto:water_too_small water_frac=0.0302 score=0.8567
1275,,auto:water_too_small water_frac=0.13334 score=0.8574
1972,,auto:water_too_small water_frac=0.05076 score=0.8575
1982,,auto:water_too_small water_frac=0.12153 score=0.8578
1015,,auto:water_too_small water_frac=0.08054 score=0.8584
1565,,auto:water_too_small water_frac=0.11463 score=0.8586
2839,,auto:water_too_small water_frac=0.14757 score=0.8586
0048,,auto:water_too_small water_frac=0.01113 score=0.8592
1246,,auto:water_too_small water_frac=0.043 score=0.8596
0522,,auto:water_too_small water_frac=0.14687 score=0.8598
0660,,auto:water_too_small water_frac=0.03602 score=0.86
0811,,auto:water_too_small water_frac=0.04561 score=0.8605
1127,,auto:water_too_small water_frac=0.13502 score=0.8606
